username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_avg,video_backward_seek_sum,video_pause_backward_seek_sum,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,video_pause_sum,video_pause_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
101302503,1.5555555559999998,185.90277780000002,328.05555560000005,7.064814814,15.72222222,1.166666667,28.11111111,7.055555556,6.166666667,0.46643988700000005,7.229000672000001,1.277777778,1.888888889,3.611111111,0.388333272,6.222222222,0.468123389,0.161256953,3.722222222,1.611111111,1.166666667,1.888888889,0.19198548399999998,6.5,8.388888889,9.888888889,1.005097988,0.0,0.0,0.0,0.0,9.9,7.0,2
102602012,0.333333333,0.9722222220000001,1.7222222219999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
103602527,2.166666667,172.8703704,465.16666669999995,11.25925926,14.83333333,1.388888889,220.5,4.944444444,2.055555556,0.216346957,7.427552185,1.7777777780000001,2.777777778,3.888888889,0.502006084,1.4444444440000002,0.157109655,2.5433594669999997,2.611111111,0.666666667,0.055555556,21.05555556,2.8039259469999998,3.333333333,24.38888889,9.444444444,1.222708481,0.0,0.0,0.0,0.0,9.488888889,7.777777778,1
104602001,1.9444444440000002,104.387963,262.5,5.305555556,7.777777778,1.111111111,32.94444444,5.055555556,2.888888889,0.37148431299999995,6.160465063999999,1.4444444440000002,3.0555555560000003,3.277777778,0.478265293,2.777777778,0.345599087,0.12384403,3.5555555560000003,1.0555555559999998,0.5,0.944444444,0.180539187,5.1111111110000005,6.055555556,13.5,2.2659203519999997,1.7777777780000001,0.833333333,0.5555555560000001,0.8888888890000001,9.555555556,8.333333332999999,1
104602002,1.611111111,85.22685186,248.11111110000002,4.833333333,11.66666667,1.166666667,30.55555556,5.055555556,2.111111111,0.226430976,4.526526539,0.833333333,3.0,4.055555556,0.474867725,1.888888889,0.2122114,0.211706349,0.7777777779999999,0.833333333,0.166666667,2.388888889,0.250727513,1.7777777780000001,4.166666667,11.72222222,1.6778258780000002,2.166666667,1.277777778,0.833333333,1.5,9.588888889,6.722222222,2
104602003,2.0,136.15277780000002,338.05555560000005,4.944444444,10.5,1.277777778,73.83333333,3.9444444439999997,3.0,0.508501684,4.419312305,1.333333333,2.833333333,3.0,0.509890572,2.611111111,0.442718855,2.5179713809999997,14.16666667,2.388888889,0.444444444,14.38888889,2.613257576,17.0,31.38888889,18.27777778,3.71300505,2.222222222,1.166666667,0.833333333,1.166666667,9.522222222,6.555555556,1
104602005,1.611111111,135.89814819999998,287.55555560000005,11.91666667,19.44444444,0.7222222220000001,39.66666667,2.611111111,1.277777778,0.26792328,4.882317203,1.9444444440000002,1.6666666669999999,2.222222222,0.537433862,1.166666667,0.23452381,0.570238095,3.333333333,1.277777778,0.111111111,3.277777778,0.6218253970000001,4.722222222,8.0,10.61111111,2.810251323,5.555555556,1.611111111,1.0555555559999998,1.888888889,9.766666667,8.333333332999999,2
104602006,1.5,66.73611111,174.88888889999998,2.361111111,4.722222222,0.7222222220000001,28.05555556,2.388888889,1.222222222,0.196494709,3.355015247,0.833333333,1.611111111,2.222222222,0.369378307,1.0,0.12473545,0.699140212,3.666666667,1.0,0.055555556,5.555555556,0.699140212,4.722222222,10.27777778,8.444444444,1.45734127,3.666666667,1.166666667,1.0,1.5,9.811111111,6.333333333,2
104602007,2.333333333,178.1259259,594.3888889,4.927777778,16.33333333,1.888888889,108.8888889,7.6111111110000005,5.5,0.522624538,7.223243523,1.5555555559999998,3.666666667,5.722222222,0.5948179889999999,3.9444444439999997,0.361144804,3.859364022,7.277777778,3.388888889,1.0555555559999998,34.11111111,3.950032342,11.72222222,45.83333333,25.38888889,2.323195215,2.777777778,1.388888889,1.111111111,1.6666666669999999,9.666666667000001,9.777777777999999,3
104602008,1.7777777780000001,45.31851852,163.72222219999998,4.6111111110000005,4.6111111110000005,1.222222222,16.55555556,5.0,4.666666667,0.468001089,5.0153351189999995,1.888888889,1.111111111,2.888888889,0.295238505,4.3888888889999995,0.445332148,0.02345679,1.5555555559999998,0.7777777779999999,0.5555555560000001,0.5,0.043209877,2.888888889,3.388888889,7.333333333,0.739456007,2.277777778,0.944444444,0.5555555560000001,1.0,9.877777777999999,9.055555556,2
