username,video_backward_seek_avg,video_avg_count,qz_mean,final_score
Y1050160,-0.671811188405,0.0150138006133,0.179496232655,30.0
Y1050161,-0.439220028753,-0.599926942505,-0.156340768845,40.0
Y1050162,3.59883958505,2.31481639789,-1.7212802486,30.0
Y1050163,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050164,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050165,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050166,-0.713128508153,0.729812930797,-0.00325231620243,20.0
Y1050167,-0.637537838803,-0.281307877885,-0.0580471236182,30.0
Y1050168,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050169,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050170,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050171,-0.309670664123,-0.327426471542,0.119342637191,10.0
Y1050172,-0.829017103679,0.0263243224378,0.0368570855661,10.0
Y1050173,0.65076803408,-0.99904922459,0.274130682925,70.0
Y1050174,-0.0591176114676,-1.19049786994,-0.326353907524,80.0
Y1050175,0.214951320365,-0.445058575053,-0.0776992816038,30.0
Y1050176,0.808909901493,-0.469604731849,-0.225382122015,90.0
Y1050177,2.25960685076,1.96051096904,0.790824899908,20.0
Y1050178,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050179,1.1524838432,-1.16715346255,-0.386330874414,95.0
Y1050180,-0.637537838803,-0.281307877885,-0.0580471236182,40.0
Y1050181,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050182,1.6528405649,-0.722470912752,-0.554243458994,90.0
Y1050183,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050184,-0.931595281291,0.191127286896,0.0876986262005,10.0
Y1050185,0.331069604959,-0.97583504119,-0.234940016574,99.0
Y1050186,2.58474419651,0.731764551091,-1.17030043903,85.0
Y1050187,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050188,0.301620832113,0.426451447278,0.176211700743,45.0
Y1050189,2.77629510302,-0.310340337344,0.429323431661,91.0
Y1050190,2.68440126947,0.232111115685,-1.03923183752,90.0
Y1050191,0.764376544785,0.18842545225,0.983817252919,40.0
Y1050192,2.02855220919,0.19008782479,-0.431028492149,70.0
Y1050193,-0.952110916813,0.224087879788,0.0978669343273,20.0
Y1050194,3.67591414018,3.98880755843,-2.50394642863,20.0
Y1050195,1.17336800996,0.353838620863,0.533601434951,40.0
Y1050196,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050197,5.40970573056,1.34949693383,1.20695524817,80.0
Y1050198,0.208059249426,-0.041442249601,-0.607914943997,20.0
Y1050199,-1.0888818203,0.443825165733,0.165655655173,30.0
