username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,3.0,737.0,2.0,15.0,11.5,6.25,14.75,0.25,87.75,15.5,9.0,59.25,0.25,2.25,2.25,0.75,2.25,8.180833333,6.0,8.0
Y1050275,1.25,390.0,1.25,8.5,7.25,5.5,8.0,0.75,79.75,6.25,20.0,42.5,0.75,0.0,0.0,0.0,0.0,0.0,1.75,2.0
Y1050276,2.25,736.75,1.75,10.25,8.0,2.5,9.5,1.0,52.0,2.75,3.75,42.0,1.0,2.25,2.25,1.25,2.25,8.215,1.25,4.0
Y1050277,0.25,123.5,0.25,0.75,0.0,0.0,0.75,0.0,1.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0
Y1050278,3.5,484.5,2.5,6.0,3.25,2.75,5.0,0.75,24.5,0.25,5.25,13.5,0.75,2.25,2.25,1.75,2.25,6.770833333,3.75,5.0
Y1050279,4.75,1960.75,3.5,15.0,12.25,6.75,15.0,0.75,205.5,12.25,15.5,152.25,0.75,2.25,2.25,1.75,2.25,9.416666667,5.0,7.0
Y1050280,2.25,117.0,1.5,3.5,2.25,0.5,3.5,1.0,11.5,1.25,0.5,6.5,1.0,0.25,0.25,0.25,0.25,0.0,0.5,1.0
Y1050281,0.25,63.0,0.25,0.75,0.25,0.75,0.75,0.25,10.0,0.75,1.0,7.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050282,1.0,168.0,1.0,2.75,2.5,1.25,2.25,0.75,23.75,0.5,2.25,8.75,0.75,0.0,0.0,0.0,0.0,0.0,1.5,1.0
Y1050283,2.0,87.5,1.25,2.0,1.25,1.25,1.5,0.25,9.25,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,3.25,2.0
Y1050284,2.75,157.0,2.0,3.25,0.25,1.0,3.0,0.0,19.25,0.5,0.25,15.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050286,4.0,1088.75,3.25,11.0,10.25,6.0,11.0,1.75,208.5,17.25,11.0,126.25,1.75,1.25,1.25,0.75,1.25,3.555833333,6.5,7.0
Y1050287,2.75,664.0,2.5,13.25,10.25,9.25,11.5,3.25,101.25,10.5,23.5,44.0,3.5,0.0,0.0,0.0,0.0,0.0,7.25,5.0
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050289,3.75,1562.75,2.5,12.5,7.0,12.25,12.0,1.25,335.5,48.75,115.75,143.0,1.25,0.0,0.0,0.0,0.0,0.0,7.5,6.0
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050291,1.75,640.5,0.75,8.5,5.5,3.0,7.25,2.5,45.25,3.25,2.5,30.25,2.5,0.0,0.0,0.0,0.0,0.0,6.0,4.0
Y1050292,4.5,1201.75,3.75,8.75,1.5,6.5,8.0,0.0,113.5,59.0,19.0,24.75,0.0,1.5,1.5,1.0,1.5,3.25,3.75,5.0
Y1050293,2.5,908.25,2.25,11.75,11.0,4.25,11.5,3.25,81.5,6.5,6.0,62.0,3.5,2.25,2.25,0.75,2.25,7.895833333,7.75,8.0
Y1050294,3.0,696.5,2.75,9.25,8.75,4.0,8.0,3.0,74.5,20.75,10.25,33.25,3.0,0.0,0.0,0.0,0.0,0.0,3.75,4.0
Y1050295,4.0,1031.5,2.75,9.5,4.5,7.5,6.75,1.25,60.25,15.25,5.75,25.75,1.25,0.0,0.0,0.0,0.0,0.0,5.0,3.0
Y1050296,2.0,738.5,1.75,9.0,6.0,5.5,7.5,2.0,61.25,15.5,13.0,19.75,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Y1050297,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Y1050298,0.75,75.25,0.75,2.0,1.75,0.5,1.75,0.5,8.25,0.5,2.5,4.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Y1050299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Y1050300,1.5,208.25,0.75,2.0,0.75,2.0,1.25,0.25,24.5,13.25,3.75,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0
Y1050301,0.5,67.0,0.25,1.0,1.0,0.75,1.0,0.0,6.5,2.25,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050302,1.25,111.75,0.75,2.5,1.25,0.5,2.0,0.5,6.5,1.0,0.25,3.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050303,2.0,437.5,1.75,6.5,4.25,4.5,5.25,1.5,66.75,13.75,17.75,22.75,1.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Y1050304,0.25,33.5,0.25,0.75,0.25,0.0,0.75,0.0,3.25,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050305,2.5,354.75,1.25,3.0,1.0,1.25,3.0,0.25,19.25,9.0,1.25,7.0,0.25,0.0,0.0,0.0,0.0,0.0,2.25,2.0
Y1050306,2.75,195.75,2.0,3.5,0.25,2.0,3.25,0.0,25.75,2.5,6.25,12.25,0.0,1.0,1.0,1.0,1.0,2.666666667,0.75,1.0
Y1050307,0.5,164.5,0.5,1.75,1.25,0.75,1.5,0.25,10.25,3.75,0.5,4.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050308,4.75,877.0,4.5,7.0,3.5,4.75,7.0,0.5,164.75,18.75,24.75,96.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050310,0.25,45.5,0.25,1.0,0.75,0.25,0.75,0.25,2.75,0.0,0.75,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050311,5.25,1798.75,4.75,18.0,8.0,14.25,16.5,1.25,175.5,52.5,21.25,74.0,1.25,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Y1050312,0.25,10.75,0.25,0.5,0.0,0.0,0.5,0.0,1.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Y1050313,1.75,331.75,1.75,6.5,3.75,4.5,6.0,0.0,52.5,6.5,11.5,23.0,0.0,0.25,0.25,0.25,0.25,0.416666667,1.25,3.0
Y1050314,0.5,447.25,0.5,5.5,3.75,2.25,5.0,1.25,29.5,2.75,2.75,19.0,1.25,1.25,1.25,0.75,1.25,1.583333333,0.75,3.0
Y1050315,0.75,623.25,0.75,6.75,5.0,6.25,6.75,0.5,177.25,64.0,28.0,70.75,0.5,0.25,0.25,0.25,0.25,0.25,1.5,2.0
Y1050316,1.5,665.0,1.25,6.5,5.75,1.5,6.0,1.0,39.0,1.25,4.75,26.5,1.0,0.25,0.25,0.25,0.25,0.0,1.0,1.0
Y1050317,3.25,1352.0,2.75,14.25,8.75,7.25,13.5,1.5,177.25,8.5,23.75,67.75,1.5,2.25,2.25,1.0,2.25,6.194166667,4.75,5.0
