username,hw_mean
Y1050244,0
Y1050202,5.5625
Y1050195,0.625
Y1050235,0
Y1050185,10
Y1050214,0
Y1050266,0
Y9999994,0
Y1050197,2.45875
Y1050167,0
Y9999986,0
Y1050164,0
Y1050223,0
Y1050218,0
Y1050206,0
Y1050240,0
Y1050234,0
Y1050172,0
Y1050209,7.96875
Y1050246,0
Y1050191,0
Y1050178,0
Y1050161,0
Y1050255,0
Y9999992,0
Y1050190,4.25
Y1050268,0
Y1050168,0
Y1050229,10
Y1050265,0
Y1050160,0
Y1050219,0
Y1050224,0
Y1050231,0
Y1050258,0
Y1050182,5.9375
Y1050165,0
Y1050256,0
Y1050225,6.65625
Y1050249,0
Y1050260,0
Y1050232,0
Y1050170,0
Y1050220,0
Y1050181,0
Y9999987,0
Y1050252,0
Y1050184,0
Y1050222,0
Y1050245,0
Y1050162,0
Y1050233,0
Y1050226,0
Y1050228,5.5575
Y1050193,0
Y1050250,0
Y1050247,0
Y1050272,0
Y1050216,0
Y1050251,0
Y1050166,0
Y1050238,0
Y1050174,6.125
Y1050242,0
Y1050271,0
Y9999995,0
Y1050180,0
Y1050269,0
Y1050207,0
Y1050169,0
Y1050263,0
Y9999999,0
Y9999997,0
Y1050248,0
Y1050208,5.75
Y1050261,4
Y1050188,0
Y1050200,0
Y1050189,6.14625
Y1050213,0
Y1050199,0
Y1050267,0
Y9999998,0
Y1050253,0
Y1050264,0
Y1050187,0
Y1050257,0
Y1050196,0
Y1050163,0
Y1050177,0
Y1050211,0
Y9999993,0
Y1050221,6.8175
Y1050243,0
Y1050217,0
Y1050259,4.0775
Y1050173,0
Y9999990,0
Y1050212,0
Y1050175,0
Y1050186,7.65625
Y1050273,0
Y1050236,0
Y1050183,0
Y9999989,0
Y1050179,8.14625
Y1050194,0
Y1050254,0
Y1050215,0
Y1050241,0
Y1050203,0
Y1050204,4.125
Y1050171,0
Y1050239,0
Y1050192,7.27125
Y1050198,0
Y1050210,0
Y1050230,0
Y9999988,0
Y1050227,0
Y9999996,0
Y1050270,0
Y1050237,0
Y1050176,9.25
Y1050205,6.74
Y1050262,0
Y9999991,0
Y1050201,6.0775
