username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.4,259,338.6,1.4,24.16666667,31,1.4,24.96666667,32.4,0,0,0,3.6,1.2,2.4,0.12,6.182800377,1.2,2.8,0.61,3.6,0.8,0,0,10,2.46,4.4,1.09,6.6,2.34,2.2,0.37,0,0,16.6,4.8,6.6,1.46,23.2,6.26,11.6,3.43,0,0,26.8,7.06,61.6,16.75,0,0,0,0,0,39.4,30
Y1050161,1,112,177.8,0.6,15.5,23.2,0.2,8.6,8.6,0,0,0,1.2,0.2,1,0.033333333,2.171963544,0.6,0.6,0.1,1.2,0.2,0,0,1.2,0.2,1,0.166666667,2.6,0.433333333,0.4,0.066666667,0,0,3.8,0.633333333,1.4,0.233333333,5.2,0.866666667,4.2,0.7,0,0,6.4,1.066666667,15.8,2.633333334,0,0,0,0,0,56,40
Y1050162,2.8,441.7333333,1284.4,2.6,21.83333333,57.6,2.6,103.6,275.6,0,0,0,11.6,9.2,2.4,0.788754579,9.870935916,4.4,10.4,0.874945055,11.4,0.986666667,0.4,0.02967033,46.2,3.635238095,80.8,7.234871796,92.4,8.239633699,27.4,2.447326007,0.4,0.02967033,138.6,11.8748718,108.6,9.711868131,247.2,21.58673993,130.6,11.62728938,0.4,0.02967033,258.8,22.58673993,637,55.83043956,0,0,0,0,0,48,30
Y1050164,0.6,7.266666666,21.8,0,0,0,0.6,0.8,2.4,0,0,0,1.2,0.8,0.4,0.133333333,1.486075526,0.4,0.2,0.033333333,0.8,0.133333333,0.4,0.066666667,0,0,0,0,0.2,0.033333333,0,0,0.2,0.033333333,0.2,0.033333333,0.2,0.033333333,0.4,0.066666667,1,0.166666667,0.4,0.066666667,1.6,0.266666667,3.4,0.566666667,0,0,0,0,0,0,0
Y1050165,0.6,14.9,29,0,0,0,0.4,3.4,6.8,0,0,0,0.6,0.2,0.4,0.066666667,1.499638563,0.4,0.4,0.133333333,0.6,0.2,0.2,0.066666667,0.6,0.2,0.2,0.066666667,4.4,1.466666667,0.2,0.066666667,0,0,5,1.666666667,0.4,0.133333333,5.4,1.8,5,1.666666667,0.2,0.066666667,6,2,16.6,5.533333334,0,0,0,0,0,0,0
Y1050166,1.4,29.8,78.8,0.6,1.3,2.4,1,2.933333333,7,0,0,0,0.8,0,0.8,0,1.770024107,1,0.4,0.266666667,0.8,0.4,0,0,0.8,0.266666667,0.2,0.2,2.4,1.333333333,0.8,0.8,0,0,3.2,1.6,1,1,4.2,2.6,4,2.533333333,0,0,5,3,13.2,8.133333334,0,0,0,0,0,33,20
Y1050167,1.4,170.4333333,373.2,0.8,42.5,47.8,1,10.8,15.6,0,0,0,4.8,2.4,2.4,0.32979798,3.855904747,2.8,1.6,0.197474748,4.2,0.533333333,0.6,0.122222222,1,0.134848485,0.8,0.116666667,4.6,0.641414141,0.6,0.09040404,0.2,0.05,5.6,0.776262626,1.6,0.257070707,7.2,1.033333333,8.6,1.124747475,0.6,0.122222222,12,1.633333333,28.4,3.913636364,0.8,0.6,1,0.6,1.466666667,57.2,30
Y1050168,1.2,71.5,190.6,0.8,6.7,12.2,0.8,5.6,16,0,0,0,2.2,1.6,0.6,0.177777778,4.351580395,1.8,1.2,0.133333333,1.6,0.333333333,1,0.111111111,5,0.555555556,3,0.333333333,1.6,0.177777778,1.6,0.177777778,0.8,0.088888889,6.6,0.733333333,5.4,0.6,12,1.333333333,4.8,0.688888889,1.2,0.133333333,14.2,1.733333333,32.2,3.888888888,0.8,0.8,0.2,0.8,1.166666667,12,10
Y1050169,1.4,158.6,421,1.2,16,34.8,1.4,23.46666667,63.2,0,0,0,4.8,2.4,2.4,0.3,3.164597258,1.8,2.8,0.418181818,4.6,0.581818182,0.2,0.018181818,24.4,3.527272727,8.6,0.781818182,18,1.636363636,3.2,0.290909091,0,0,42.4,5.163636364,11.8,1.072727273,54.2,6.236363636,25.4,2.472727273,0.2,0.018181818,59,6.836363636,138.8,15.56363636,0,0,0,0,0,0,0
Y1050170,1.6,180.4166667,426.2,1,26.2,36.2,1.2,22.75,38.8,0,0,0,6.2,5.6,0.6,0.526190476,3.726755401,3.2,2.6,0.252380952,6,0.583333333,1.2,0.111904762,1.2,0.1,3.2,0.326190476,20.8,1.9,3.8,0.352380952,0,0,22,2,7,0.678571429,29,2.678571429,29.4,2.711904762,1.2,0.111904762,35.2,3.278571429,94.8,8.78095238,1.6,1.4,1,1.4,3.77,0,10
