username,exam_first_week,exam_second_week
Y1050274,10,7
Y1050275,8,7
Y1050276,10,0
Y1050277,6,0
Y1050278,10,2
Y1050279,10,4
Y1050280,6,0
Y1050281,6,0
Y1050282,6,6
Y1050283,6,0
Y1050284,10,4
Y1050285,0,0
Y1050286,10,8
Y1050287,10,8
Y1050288,0,0
Y1050289,10,2
Y1050290,0,0
Y1050291,10,8
Y1050292,10,2
Y1050293,10,10
Y1050294,10,4
Y1050295,8,2
Y1050296,8,0
Y1050297,0,2
Y1050298,8,4
Y1050299,0,4
Y1050300,10,2
Y1050301,0,0
Y1050302,0,0
Y1050303,10,4
Y1050304,6,0
Y1050305,10,4
Y1050306,0,0
Y1050307,0,0
Y1050308,0,0
Y1050309,0,0
Y1050310,10,0
Y1050311,6,2
Y1050312,6,4
Y1050313,8,0
Y1050314,7,0
Y1050315,8,4
Y1050316,6,0
Y1050317,10,2
Y1050318,8,6
Y1050319,10,4
Y1050320,8,4
Y1050321,8,4
Y1050322,10,10
Y1050323,10,10
Y1050324,10,4
Y1050325,5,2
Y1050326,6,4
Y1050327,0,0
Y1050328,7,6
Y1050329,1,4
Y1050330,10,0
Y1050331,7,0
Y1050332,8,4
Y1050333,10,0
Y1050334,7,4
Y1050335,7,4
Y1050336,8,8
Y1050337,7,4
Y1050338,6,4
Y1050339,10,6
Y1050340,8,2
Y1050341,4,2
Y1050342,8,6
Y1050343,0,0
Y1050344,8,6
Y1050345,2,2
Y1050346,8,2
Y1050347,8,6
Y1050348,10,0
Y1050349,10,4
Y1050350,10,0
Y1050351,10,5
Y1050352,10,8
Y1050353,8,2
Y1050354,9,4
Y1050355,6,0
Y1050356,8,2
Y1050357,8,2
Y1050358,10,2
Y1050359,6,2
Y1050360,10,2
Y1050361,9,0
Y1050362,9,8
Y1050363,0,0
Y1050364,10,6
Y1050365,10,4
Y1050366,10,2
Y1050367,10,4
Y1050368,10,4
Y1050369,10,2
Y1050370,10,4
Y1050371,10,2
Y1050372,8,2
Y1050373,10,2
Y1050374,10,4
Y1050375,10,3
Y1050376,10,8
Y1050377,10,6
Y1050378,8,6
Y1050379,10,4
Y1050380,8,2
Y1050381,10,4
Y1050382,10,4
Y1050383,6,0
Y1050384,10,2
Y1050385,10,8
Y1050386,10,2
Y1050387,0,0
Y1050388,6,4
Y1050389,0,0
Y1050390,4,0
Y1050391,8,2
Y1050392,5,4
Y1050393,0,0
Y1050394,9,4
Y1050395,0,0
Y1050396,10,4
Y1050397,8,4
Y1050398,0,0
Y1050399,0,0
Y1050400,10,4
Y1050401,6,2
Y1050402,0,0
Y1050403,8,2
Y1050404,8,0
Y1050405,2,0
Y1050406,4,0
Y1050407,2,0
Y1050408,8,0
Y1050409,6,0
Y1050410,10,2
Y1050411,8,0
Y1050412,10,2
Y1050413,8,2
Y1050414,6,2
Y1050415,8,6
Y1050416,8,2
Y1050417,10,2
Y1050418,4,0
Y1050419,4,2
Y1050420,10,2
Y1050421,10,6
Y1050422,10,4
Y1050423,4,0
Y1050424,10,0
Y1050425,6,0
Y1050426,8,6
Y1050427,10,8
Y1050428,10,4
Y1050429,2,0
Y1050430,0,0
Y1050431,0,0
Y1050432,0,0
Y1050433,0,0
Y1050434,10,4
Y1050435,9,0
Y1050436,4,0
Y1050437,0,0
Y1050438,0,0
Y1050439,8,4
Y1050440,6,0
Y1050441,0,0
Y1050442,6,4
Y1050443,0,0
Y1050444,8,2
Y1050445,10,2
Y1050446,0,0
Y1050447,7,0
Y1050448,10,4
Y1050449,8,0
Y1050450,8,2
Y1050451,0,0
Y1050452,10,0
Y1050453,8,2
Y1050454,0,9
Y9999984,4,6
Y9999985,9,6
