features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,89,2,12,16,0.882352941176
1,2,90,1,10,18,0.90756302521
1,3,90,1,10,18,0.90756302521
1,4,90,1,10,18,0.90756302521
1,5,90,1,9,19,0.915966386555
1,6,90,1,9,19,0.915966386555
1,7,90,1,7,21,0.932773109244
1,8,90,1,7,21,0.932773109244
1,9,90,1,7,21,0.932773109244
1,10,90,1,7,21,0.932773109244
1,11,90,1,8,20,0.924369747899
1,12,90,1,8,20,0.924369747899
1,13,90,1,6,22,0.941176470588
1,14,90,1,7,21,0.932773109244
1,15,90,1,6,22,0.941176470588
1,16,90,1,6,22,0.941176470588
1,17,90,1,7,21,0.932773109244
1,18,90,1,7,21,0.932773109244
1,19,90,1,7,21,0.932773109244
1,20,90,1,8,20,0.924369747899
1,21,90,1,8,20,0.924369747899
1,22,90,1,7,21,0.932773109244
1,23,90,1,7,21,0.932773109244
1,24,90,1,5,23,0.949579831933
1,25,90,1,6,22,0.941176470588
1,26,90,1,7,21,0.932773109244
1,27,90,1,7,21,0.932773109244
1,28,90,1,7,21,0.932773109244
1,29,90,1,7,21,0.932773109244
1,30,91,0,7,21,0.941176470588
1,31,91,0,7,21,0.941176470588
1,32,91,0,7,21,0.941176470588
1,33,91,0,7,21,0.941176470588
1,34,91,0,7,21,0.941176470588
1,35,91,0,7,21,0.941176470588
1,36,91,0,8,20,0.932773109244
1,37,91,0,8,20,0.932773109244
1,38,91,0,8,20,0.932773109244
1,39,91,0,8,20,0.932773109244
1,40,91,0,8,20,0.932773109244
1,41,91,0,8,20,0.932773109244
1,42,91,0,8,20,0.932773109244
1,43,91,0,8,20,0.932773109244
1,44,91,0,8,20,0.932773109244
1,45,91,0,8,20,0.932773109244
1,46,91,0,8,20,0.932773109244
1,47,91,0,8,20,0.932773109244
1,48,91,0,8,20,0.932773109244
1,49,91,0,8,20,0.932773109244
1,50,91,0,8,20,0.932773109244
1,51,91,0,7,21,0.941176470588
1,52,91,0,7,21,0.941176470588
1,53,91,0,8,20,0.932773109244
1,54,91,0,7,21,0.941176470588
1,55,91,0,6,22,0.949579831933
2,2,91,0,28,0,0.764705882353
2,3,89,2,15,13,0.857142857143
2,4,89,2,13,15,0.873949579832
2,5,90,1,9,19,0.915966386555
2,6,90,1,8,20,0.924369747899
2,7,90,1,7,21,0.932773109244
2,8,90,1,7,21,0.932773109244
2,9,90,1,7,21,0.932773109244
2,10,90,1,6,22,0.941176470588
2,11,90,1,7,21,0.932773109244
2,12,90,1,7,21,0.932773109244
2,13,90,1,7,21,0.932773109244
2,14,90,1,7,21,0.932773109244
2,15,90,1,7,21,0.932773109244
2,16,90,1,6,22,0.941176470588
2,17,90,1,7,21,0.932773109244
2,18,90,1,7,21,0.932773109244
2,19,90,1,7,21,0.932773109244
2,20,90,1,8,20,0.924369747899
2,21,90,1,8,20,0.924369747899
2,22,90,1,6,22,0.941176470588
2,23,90,1,6,22,0.941176470588
2,24,90,1,6,22,0.941176470588
2,25,90,1,6,22,0.941176470588
2,26,90,1,6,22,0.941176470588
2,27,90,1,7,21,0.932773109244
2,28,90,1,7,21,0.932773109244
2,29,90,1,7,21,0.932773109244
2,30,91,0,8,20,0.932773109244
2,31,91,0,8,20,0.932773109244
2,32,91,0,8,20,0.932773109244
2,33,91,0,8,20,0.932773109244
2,34,91,0,8,20,0.932773109244
2,35,91,0,8,20,0.932773109244
2,36,91,0,8,20,0.932773109244
2,37,91,0,8,20,0.932773109244
2,38,91,0,8,20,0.932773109244
2,39,91,0,8,20,0.932773109244
2,40,91,0,8,20,0.932773109244
2,41,91,0,8,20,0.932773109244
2,42,91,0,8,20,0.932773109244
2,43,91,0,8,20,0.932773109244
2,44,91,0,8,20,0.932773109244
2,45,91,0,8,20,0.932773109244
2,46,91,0,8,20,0.932773109244
2,47,91,0,8,20,0.932773109244
2,48,91,0,8,20,0.932773109244
2,49,91,0,8,20,0.932773109244
2,50,91,0,8,20,0.932773109244
2,51,91,0,7,21,0.941176470588
2,52,91,0,8,20,0.932773109244
2,53,91,0,8,20,0.932773109244
2,54,91,0,8,20,0.932773109244
2,55,91,0,8,20,0.932773109244
3,3,89,2,15,13,0.857142857143
3,4,90,1,14,14,0.873949579832
3,5,90,1,10,18,0.90756302521
3,6,90,1,8,20,0.924369747899
3,7,90,1,7,21,0.932773109244
3,8,90,1,7,21,0.932773109244
3,9,90,1,8,20,0.924369747899
3,10,90,1,7,21,0.932773109244
3,11,90,1,7,21,0.932773109244
3,12,90,1,8,20,0.924369747899
3,13,90,1,7,21,0.932773109244
3,14,90,1,7,21,0.932773109244
3,15,90,1,7,21,0.932773109244
3,16,90,1,8,20,0.924369747899
3,17,90,1,8,20,0.924369747899
3,18,90,1,8,20,0.924369747899
3,19,90,1,8,20,0.924369747899
3,20,90,1,8,20,0.924369747899
3,21,90,1,9,19,0.915966386555
3,22,90,1,7,21,0.932773109244
3,23,90,1,7,21,0.932773109244
3,24,90,1,6,22,0.941176470588
3,25,90,1,6,22,0.941176470588
3,26,90,1,7,21,0.932773109244
3,27,90,1,8,20,0.924369747899
3,28,90,1,8,20,0.924369747899
3,29,90,1,8,20,0.924369747899
3,30,91,0,8,20,0.932773109244
3,31,91,0,8,20,0.932773109244
3,32,91,0,8,20,0.932773109244
3,33,91,0,8,20,0.932773109244
3,34,91,0,8,20,0.932773109244
3,35,91,0,8,20,0.932773109244
3,36,91,0,8,20,0.932773109244
3,37,91,0,8,20,0.932773109244
3,38,91,0,8,20,0.932773109244
3,39,91,0,8,20,0.932773109244
3,40,91,0,8,20,0.932773109244
3,41,91,0,8,20,0.932773109244
3,42,91,0,8,20,0.932773109244
3,43,91,0,8,20,0.932773109244
3,44,91,0,8,20,0.932773109244
3,45,91,0,8,20,0.932773109244
3,46,91,0,8,20,0.932773109244
3,47,91,0,8,20,0.932773109244
3,48,91,0,8,20,0.932773109244
