username,active_num_days,active_avg_count,active_sum_count,problem_sum_count,video_pause_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
101302503,3.0,185.04166665,594.833333333,43.0,2.83333333333,0.0,0.0,0.0,0.0,9.93333333333,7.5,6.0
102602012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
103602527,2.16666666667,234.541666667,569.166666667,27.3333333333,0.166666666667,0.0,0.0,0.0,0.0,9.27777777783,7.888888889,4.0
104602001,2.16666666667,109.775,327.0,16.8333333333,0.333333333333,3.5,1.66666666667,1.0,1.83333333333,9.477777778,9.1666666665,5.0
104602002,2.33333333333,158.652777783,526.166666667,35.0,0.833333333333,4.16666666667,1.83333333333,1.16666666667,2.5,9.76111111117,7.94444444433,6.0
104602003,2.5,186.06944445,522.5,29.6666666667,2.33333333333,3.5,1.5,1.0,1.5,9.54444444433,7.61111111133,5.0
104602005,2.66666666667,142.527777783,392.833333333,33.6666666667,0.5,7.33333333333,2.16666666667,1.33333333333,2.66666666667,9.80000000017,9.1666666665,7.0
104602006,2.0,132.902777767,395.666666667,14.1666666667,2.0,4.0,1.5,1.33333333333,1.83333333333,9.78888888883,6.49999999983,6.0
104602007,2.33333333333,190.488888883,869.5,26.8333333333,3.83333333333,3.16666666667,2.0,1.83333333333,2.66666666667,9.5833333335,9.888888889,8.0
104602008,1.16666666667,44.6166666667,220.333333333,13.8333333333,0.666666666667,3.83333333333,1.66666666667,1.0,1.83333333333,9.888888889,9.11111111133,7.0
104602009,1.0,225.611111117,360.5,27.1666666667,0.0,3.83333333333,1.66666666667,1.0,2.0,9.67222222233,9.722222222,7.0
104602010,2.0,178.555555555,463.166666667,26.6666666667,0.166666666667,3.16666666667,1.83333333333,1.33333333333,2.0,9.988888889,9.9444444445,7.0
104602011,3.33333333333,176.801190483,593.5,38.5,1.5,3.83333333333,1.66666666667,1.5,1.83333333333,9.8833333335,9.1666666665,7.0
104602012,3.83333333333,263.958333333,850.166666667,47.0,4.5,4.66666666667,2.0,1.16666666667,2.16666666667,9.9166666665,8.9444444445,8.0
